Id,en_us,ko_kr,memo
dragon_node_ice_passive2_desc,"While Ice is active, Ice-element towers gain 10% attack speed per rank (up to 20%). Towers of other elements are unaffected.","얼음 어미용이 활성일 때, 얼음 속성 타워의 공격속도가 랭크당 10% 증가합니다(최대 20%). 다른 속성 타워는 영향받지 않습니다.",용 스킬트리 노드
dragon_node_fire_unlock_name,Flame Awakening,불꽃 각성,용 스킬트리 노드
dragon_node_fire_unlock_desc,"Unlocks the active skill [Burn Surge]. While Fire is the active mother dragon, every newly spawned enemy burns for 2 damage per second until it dies.","액티브 [전역 화염]을 해금합니다. 불 어미용이 활성일 때, 새로 등장하는 모든 적이 죽을 때까지 초당 2의 화상 피해를 받습니다.",용 스킬트리 노드
dragon_node_fire_active1_name,Raging Flame,맹렬한 화염,용 스킬트리 노드
dragon_node_fire_active1_desc,"Increases [Burn Surge] damage by 20% per rank (30% of current HP, up to 42%).",[전역 화염]의 피해가 랭크당 20% 강해집니다(현재 체력의 30% → 최대 42%).,용 스킬트리 노드
dragon_node_fire_active2_name,Chain Eruption,연쇄 분화,용 스킬트리 노드
dragon_node_fire_active2_desc,Reduces [Burn Surge] cooldown by 12% per rank (up to 24%: 60s to 45.6s).,"[전역 화염]의 쿨다운이 랭크당 12% 줄어듭니다(최대 24%, 60초 → 45.6초).",용 스킬트리 노드
dragon_node_fire_passive1_name,Volcanic Harvest,화산 채집,용 스킬트리 노드
dragon_node_fire_passive1_desc,"While Fire is active, Volcano Slime and Flame Heart output increases by 12% per rank (up to 24%).","불 어미용이 활성일 때, 용암 슬라임·불꽃의 심장 생산량이 랭크당 12% 증가합니다(최대 24%).",용 스킬트리 노드
dragon_node_fire_passive2_name,Pyro Attunement,화력 조율,용 스킬트리 노드
dragon_node_fire_passive2_desc,"While Fire is active, Fire-element towers gain 10% damage per rank (up to 20%). Towers of other elements are unaffected.","불 어미용이 활성일 때, 불 속성 타워의 공격력이 랭크당 10% 증가합니다(최대 20%). 다른 속성 타워는 영향받지 않습니다.",용 스킬트리 노드
dragon_node_time_unlock_name,Time Awakening,시간 각성,용 스킬트리 노드
dragon_node_time_unlock_desc,"Unlocks the active skill [Instant Reactivation]. While Time is the active mother dragon, every tower gains 15% attack speed.","액티브 [즉시 재활성화]를 해금합니다. 시간 어미용이 활성일 때, 모든 타워의 공격속도가 15% 증가합니다.",용 스킬트리 노드
dragon_node_time_active1_name,Time Compression,시간 압축,용 스킬트리 노드
dragon_node_time_active1_desc,Reduces [Instant Reactivation] cooldown by 12% per rank (up to 24%).,[즉시 재활성화]의 쿨다운이 랭크당 12% 줄어듭니다(최대 24%).,용 스킬트리 노드
dragon_node_time_active2_name,Temporal Rewind,시간 역행,용 스킬트리 노드
dragon_node_time_active2_desc,Reduces [Instant Reactivation] cooldown by a further 12% per rank. Fully upgrading both active branches totals 48% (60s to 31.2s).,[즉시 재활성화]의 쿨다운이 랭크당 12% 추가로 줄어듭니다. 액티브 두 갈래를 모두 강화하면 합계 48%입니다(60초 → 31.2초).,용 스킬트리 노드
dragon_node_time_passive1_name,Desert Harvest,사막 채집,용 스킬트리 노드
dragon_node_time_passive1_desc,"While Time is active, Desert Slime and Time Sand output increases by 12% per rank (up to 24%).","시간 어미용이 활성일 때, 사막 슬라임·시간의 모래 생산량이 랭크당 12% 증가합니다(최대 24%).",용 스킬트리 노드
dragon_node_time_passive2_name,Tempo Attunement,가속 조율,용 스킬트리 노드
dragon_node_time_passive2_desc,"While Time is active, Time-element towers gain 10% attack speed per rank (up to 20%). Towers of other elements are unaffected.","시간 어미용이 활성일 때, 시간 속성 타워의 공격속도가 랭크당 10% 증가합니다(최대 20%). 다른 속성 타워는 영향받지 않습니다.",용 스킬트리 노드
dragon_node_stone_unlock_name,Stone Awakening,암석 각성,용 스킬트리 노드
dragon_node_stone_unlock_desc,"Unlocks the active skill [Meteor Barricade]. While Stone is the active mother dragon, Stone, Rock Slime and Philosopher's Stone output increases by 20%.","액티브 [메테오 방벽]을 해금합니다. 암석 어미용이 활성일 때, 돌·암석 슬라임·현자의 돌 생산량이 20% 증가합니다.",용 스킬트리 노드
dragon_node_stone_active1_name,Meteor Fall,운석 낙하,용 스킬트리 노드
dragon_node_stone_active1_desc,Increases [Meteor Barricade] damage by 20% per rank (40 to 56).,[메테오 방벽]의 피해가 랭크당 20% 강해집니다(40 → 최대 56).,용 스킬트리 노드
dragon_node_stone_active2_name,Fortified Barricade,견고한 방벽,용 스킬트리 노드
dragon_node_stone_active2_desc,Increases the max HP of the barricade raised by [Meteor Barricade] by 50% per rank (50 to 100).,[메테오 방벽]이 세우는 방벽의 최대 체력이 랭크당 50% 늘어납니다(50 → 최대 100).,용 스킬트리 노드
dragon_node_stone_passive1_name,Quarry Yield,채석 증산,용 스킬트리 노드
dragon_node_stone_passive1_desc,"While Stone is active, Stone, Rock Slime and Philosopher's Stone output increases by a further 12% per rank (up to 24%).","암석 어미용이 활성일 때, 돌·암석 슬라임·현자의 돌 생산량이 랭크당 12% 추가로 증가합니다(최대 24%).",용 스킬트리 노드
dragon_node_stone_passive2_name,Geo Attunement,암반 조율,용 스킬트리 노드
dragon_node_stone_passive2_desc,"While Stone is active, Stone-element towers gain 10% damage per rank (up to 20%). Towers of other elements are unaffected.","암석 어미용이 활성일 때, 암석 속성 타워의 공격력이 랭크당 10% 증가합니다(최대 20%). 다른 속성 타워는 영향받지 않습니다.",용 스킬트리 노드
dragon_node_life_unlock_name,Life Awakening,생명 각성,용 스킬트리 노드
dragon_node_life_unlock_desc,"Unlocks the active skill [Castle Mend]. While Life is the active mother dragon, Food and Grass Slime output increases by 20%.","액티브 [성벽 재생]을 해금합니다. 생명 어미용이 활성일 때, 식량·초원 슬라임 생산량이 20% 증가합니다.",용 스킬트리 노드
dragon_node_life_active1_name,Swift Mending,신속한 치유,용 스킬트리 노드
dragon_node_life_active1_desc,Reduces [Castle Mend] cooldown by 12% per rank (up to 24%).,[성벽 재생]의 쿨다운이 랭크당 12% 줄어듭니다(최대 24%).,용 스킬트리 노드
dragon_node_life_active2_name,Blooming Life,만개하는 생명,용 스킬트리 노드
dragon_node_life_active2_desc,Increases [Castle Mend] healing by 20% per rank (50 to 70).,[성벽 재생]의 회복량이 랭크당 20% 늘어납니다(50 → 최대 70).,용 스킬트리 노드
dragon_node_life_passive1_name,Meadow Yield,초원 증산,용 스킬트리 노드
dragon_node_life_passive1_desc,"While Life is active, Food and Grass Slime output increases by a further 12% per rank (up to 24%).","생명 어미용이 활성일 때, 식량·초원 슬라임 생산량이 랭크당 12% 추가로 증가합니다(최대 24%).",용 스킬트리 노드
dragon_node_life_passive2_name,Vital Attunement,생명 조율,용 스킬트리 노드
dragon_node_life_passive2_desc,"While Life is active, every tower gains 10% max HP per rank (up to 20%), regardless of element. Applied when the night begins.","생명 어미용이 활성일 때, 모든 타워의 최대 체력이 랭크당 10% 증가합니다(최대 20%). 속성을 가리지 않으며, 밤이 시작될 때 적용됩니다.",용 스킬트리 노드
dragon_node_ice_ultimate_name,Eternal Winter,영원한 겨울,
dragon_node_ice_ultimate_desc,"The tower-attack slow keeps working even while Ice is not the active mother dragon, and [Deep Freeze] cooldown is reduced by a further 20%.","얼음 어미용이 활성이 아닐 때도 타워 공격의 둔화 부여가 계속 작동하고, [전역 빙결]의 쿨다운이 20% 추가로 줄어듭니다.",
dragon_node_ice_kin_tower_name,Frostfang,서릿니,
dragon_node_ice_kin_tower_desc,"The Ice baby dragon's attacks apply slow (rank 1), and its own damage increases by 12% (rank 2). Applies at all times, regardless of which mother dragon is active.","얼음 새끼용의 공격에 둔화가 붙고(랭크 1), 자신의 공격력이 12% 증가합니다(랭크 2). 어미용 활성 여부와 무관하게 항상 적용됩니다.",
dragon_node_ice_kin_area_name,Lava Freeze,용암 결빙,
dragon_node_ice_kin_area_desc,Widens the Ice baby dragon's buff radius by 20% per rank (3 to 4.2). Buildings can be placed on volcanic terrain inside that radius.,얼음 새끼용의 버프 반경이 랭크당 20% 넓어집니다(3 → 4.2). 이 반경 안에서는 화산 지대에도 건물을 지을 수 있습니다.,
dragon_node_fire_ultimate_name,Great Conflagration,대화재,
dragon_node_fire_ultimate_desc,"Enemies keep burning on spawn even while Fire is not the active mother dragon, and [Burn Surge] deals 30% more damage with 20% less cooldown.","불 어미용이 활성이 아닐 때도 적이 등장할 때 화상이 계속 부여되고, [전역 화염]의 피해가 30% 강해지며 쿨다운이 20% 줄어듭니다.",
dragon_node_fire_kin_tower_name,Emberfang,불꽃니,
dragon_node_fire_kin_tower_desc,"The burn applied by the Fire baby dragon deals 2 damage per second (rank 1), rising to 4 (rank 2). Applies at all times, regardless of which mother dragon is active.","불 새끼용이 부여하는 화상이 초당 2의 피해를 주고(랭크 1), 초당 4로 강해집니다(랭크 2). 어미용 활성 여부와 무관하게 항상 적용됩니다.",
dragon_node_fire_kin_area_name,Long Reach Flame,장거리 화염,
dragon_node_fire_kin_area_desc,"Increases the Fire baby dragon's own attack range by 12% per rank (up to 24%). Applies at all times, regardless of which mother dragon is active.",불 새끼용 자신의 공격 사거리가 랭크당 12% 증가합니다(최대 24%). 어미용 활성 여부와 무관하게 항상 적용됩니다.,
dragon_node_time_ultimate_name,Eternal Hourglass,영원의 모래시계,
dragon_node_time_ultimate_desc,"Every tower keeps 7.5% attack speed even while Time is not the active mother dragon, and conquest expeditions take 1 day less.","시간 어미용이 활성이 아닐 때도 모든 타워가 공격속도 7.5%를 유지하고, 원정(점령)에 걸리는 일수가 1 줄어듭니다.",
dragon_node_time_kin_tower_name,Clockwork Fang,태엽니,
dragon_node_time_kin_tower_desc,"Increases the Time baby dragon's own attack speed by 12% per rank (up to 24%). Applies at all times, regardless of which mother dragon is active.",시간 새끼용 자신의 공격속도가 랭크당 12% 증가합니다(최대 24%). 어미용 활성 여부와 무관하게 항상 적용됩니다.,
dragon_node_time_kin_area_name,Desert Reprieve,사막의 안식,
dragon_node_time_kin_area_desc,Widens the Time baby dragon's buff radius by 20% per rank (5 to 7). Desert terrain penalties are nullified inside that radius.,시간 새끼용의 버프 반경이 랭크당 20% 넓어집니다(5 → 7). 이 반경 안에서는 사막 지대의 지역 페널티가 사라집니다.,
dragon_node_stone_ultimate_name,Lord of Earth,대지의 군주,
dragon_node_stone_ultimate_desc,"Half of the production bonus (10%) remains even while Stone is not the active mother dragon, and [Meteor Barricade] daily uses increase from 2 to 3.","암석 어미용이 활성이 아닐 때도 생산량 증가가 절반(10%) 남고, [메테오 방벽]의 1일 사용 횟수가 2회에서 3회로 늘어납니다.",
dragon_node_stone_kin_tower_name,Boulderfang,바위니,
dragon_node_stone_kin_tower_desc,"Increases the Stone baby dragon's own damage by 12% per rank (up to 24%). Applies at all times, regardless of which mother dragon is active.",암석 새끼용 자신의 공격력이 랭크당 12% 증가합니다(최대 24%). 어미용 활성 여부와 무관하게 항상 적용됩니다.,
dragon_node_stone_kin_area_name,Vein Resonance,광맥 공명,
dragon_node_stone_kin_area_desc,Raises the production multiplier the Stone baby dragon grants to nearby facilities from 2.0x by 0.3x per rank (up to 2.6x). Applies to Stone and the four specialty resources.,암석 새끼용이 주변 생산시설에 주는 생산 배율이 2.0배에서 랭크당 0.3배씩 올라 최대 2.6배가 됩니다(돌·특화 자원 4종 대상).,
dragon_node_life_ultimate_name,Blessing of the World Tree,세계수의 축복,
dragon_node_life_ultimate_desc,"Half of the production bonus (10%) remains even while Life is not the active mother dragon, and [Castle Mend] heals 30% more with 20% less cooldown.","생명 어미용이 활성이 아닐 때도 생산량 증가가 절반(10%) 남고, [성벽 재생]의 회복량이 30% 늘어나며 쿨다운이 20% 줄어듭니다.",
dragon_node_life_kin_tower_name,Life's Touch,생명의 손길,
dragon_node_life_kin_tower_desc,"Widens the Life baby dragon's buff radius by 20% per rank (3 to 4.2). Applies at all times, regardless of which mother dragon is active.",생명 새끼용의 버프 반경이 랭크당 20% 넓어집니다(3 → 4.2). 어미용 활성 여부와 무관하게 항상 적용됩니다.,
dragon_node_life_kin_area_name,Fields of Plenty,풍요의 들판,
dragon_node_life_kin_area_desc,Raises the production multiplier the Life baby dragon grants to nearby facilities from 2.0x by 0.3x per rank (up to 2.6x). Applies to Food and Wood.,생명 새끼용이 주변 생산시설에 주는 생산 배율이 2.0배에서 랭크당 0.3배씩 올라 최대 2.6배가 됩니다(식량·통나무 대상).,
dragon_window_header,Dragons,용,
dragon_upgrade_button,Upgrade!,강화!,
dragon_state_invalid,Unavailable,이용 불가,
dragon_state_completed,Unlocked,해금 완료,
dragon_state_unavailable_phase,Can only be upgraded during the day,낮에만 강화할 수 있습니다,
dragon_state_prerequisite_locked,Requires the previous node,선행 노드가 필요합니다,
dragon_state_gate_locked,Requirements not met,조건 미달,
dragon_state_insufficient_resources,Not enough resources,자원이 부족합니다,
dragon_state_available,Ready to unlock,해금 가능,
dragon_resource_cost,{0} {1},{0} {1},
dragon_unknown_resource,Resource,자원,
dragon_attribute_ice,Ice,얼음,
dragon_attribute_fire,Fire,불,
dragon_attribute_time,Time,시간,
dragon_attribute_stone,Stone,암석,
dragon_attribute_life,Life,생명,
baby_dragon_inventory_title,Dragon Inventory,새끼용 인벤토리,
baby_dragon_egg_progress,{0} day(s),{0} 일,
baby_dragon_slot_egg_label,{0} Egg,{0},
baby_dragon_slot_dragon_label,{0} Dragon,{0},
baby_dragon_feed_info,{0}/day,{0}/일,
baby_dragon_manage_title_format,[TBD] {0} Baby Dragon,[미정] {0} 새끼용,
baby_dragon_manage_status_label,[TBD] Status,[미정] 상태,
baby_dragon_manage_status_active,[TBD] Active,[미정] 활성,
baby_dragon_manage_status_starving,[TBD] Starving,[미정] 굶주림,
baby_dragon_manage_feed_label,[TBD] Daily Feed,[미정] 하루 먹이,
baby_dragon_manage_buff_radius_label,[TBD] Buff Radius,[미정] 버프 반경,
baby_dragon_manage_buff_multiplier_label,[TBD] Buff Multiplier,[미정] 버프 배율,
baby_dragon_manage_mode_attack,[TBD] Attack Mode,[미정] 공격모드,
baby_dragon_manage_mode_buff,[TBD] Buff Mode,[미정] 버프모드,
baby_dragon_manage_relocate,[TBD] Relocate,[미정] 재배치,
baby_dragon_manage_skill_tree,[TBD] Skill Tree,[미정] 강화 트리,
baby_dragon_manage_remove,[TBD] Demolish,[미정] 철거,
baby_dragon_manage_close,[TBD] Close,[미정] 닫기,
baby_dragon_manage_night_locked,[TBD] Cannot relocate at night,[미정] 밤에는 재배치할 수 없습니다,
research_node_tower_damage_name,[TBD] Basic Training,[미정] 기본 훈련,
research_node_tower_range_1_name,[TBD] Range Extension I,[미정] 사거리 확장 I,
research_node_tower_range_1_description,[TBD] Tower range +15%.,[미정] 사거리 +15%,
research_node_tower_firerate_1_name,[TBD] Rate of Fire I,[미정] 연사 개량 I,
research_node_tower_firerate_1_description,[TBD] Attack speed +12%.,[미정] 공격속도 +12%,
research_node_tower_manpower_1_name,[TBD] Manpower Efficiency I,[미정] 인력 효율 I,
research_node_tower_manpower_1_description,[TBD] Tower population requirement -1 (min 1).,[미정] 타워 필요 인구 -1 (하한 1),
research_node_tower_elemental_unlock_name,[TBD] Elemental Towers,[미정] 속성 타워 해금,
research_node_tower_elemental_unlock_description,[TBD] Allows building biome-specialized towers.,[미정] 바이옴 특화 타워 건설 가능,
research_node_tower_pierce_splash_name,[TBD] Pierce / Splash,[미정] 관통/스플래시,
research_node_tower_pierce_splash_description,[TBD] Unlocks multi-hit tower families.,[미정] 다중 타격 계열 해금,
research_node_tower_elemental_branch_name,[TBD] Elemental Specialization,[미정] 속성 특화 분기,
research_node_tower_elemental_branch_description,[TBD] Strengthens per-element specialization effects.,[미정] 속성별 특화 효과 강화,
research_node_production_outer_basic_name,[TBD] Outer Basic Harvesting,[미정] 외곽 기초자원 채집,
research_node_production_outer_basic_description,"[TBD] Unlocks food, wood, and stone harvesting in outer biomes.",[미정] 외곽 바이옴 식량·목재·석재 채집 해금,
research_node_production_specialized_name,[TBD] Specialized Facilities,[미정] 특화 생산 시설,
research_node_production_specialized_description,[TBD] Biome specialty resource efficiency +20%.,[미정] 바이옴 특화 자원 효율 +20%,
research_node_production_slime_farm_name,[TBD] Slime Farming,[미정] 슬라임 양식,
research_node_production_slime_farm_description,[TBD] Slime production in specialty areas +25%.,[미정] 특화 지역 슬라임 생산 +25%,
research_node_production_optimize_name,[TBD] Production Optimization,[미정] 생산 최적화,
research_node_production_optimize_description,[TBD] Production facility population requirement -1 (min 1).,[미정] 생산 시설 필요 인구 -1 (하한 1),
research_node_production_diagonal_name,[TBD] Diagonal Zone Development,[미정] 대각선 지대 개발,
research_node_production_diagonal_description,[TBD] Production bonus in high-yield diagonal zones.,[미정] 고수익 대각선 지대 생산 보너스,
research_node_production_auto_line_name,[TBD] Automated Production Line,[미정] 자동 생산 라인,
research_node_production_auto_line_description,[TBD] Some resources are auto-produced at settlement.,[미정] 정산 시 일부 자원 자동 증산,
research_node_convenience_scout_1_name,[TBD] Scouting I,[미정] 정찰 I,
research_node_convenience_scout_1_description,[TBD] Fog of war vision radius +1 step.,[미정] 전장의 안개 가시 반경 +1단계,
research_node_convenience_lab_expand_1_name,[TBD] Lab Expansion I,[미정] 연구소 증축 I,
research_node_convenience_lab_expand_1_description,[TBD] Raises the research lab population cap (more RP per night).,[미정] 연구소 배치 가능 최대 인구 +N (RP 생성량↑),
research_node_convenience_tower_move_name,[TBD] Tower Relocation,[미정] 타워 이동 해금,
research_node_convenience_tower_move_description,[TBD] Move towers without demolishing them.,[미정] 철거 없이 타워 이동 가능,
research_node_convenience_castle_regen_1_name,[TBD] Castle Auto-Repair I,[미정] 성 자동 회복 I,
research_node_convenience_castle_regen_1_description,[TBD] Castle passively regenerates health each day.,[미정] 매일 낮 성 체력 패시브 회복,
research_node_convenience_castle_repair_name,[TBD] Emergency Castle Repair,[미정] 성 긴급 수리,
research_node_convenience_castle_repair_description,[TBD] Improves instant daytime repair efficiency.,[미정] 낮 자원 소모 즉시 수리 효율↑,
research_node_convenience_expedition_logistics_name,[TBD] Expedition Logistics,[미정] 원정 물류,
research_node_convenience_expedition_logistics_description,[TBD] Reduces conquest expedition cost and duration.,[미정] 점령 출격 비용/소요 감소,
research_node_convenience_lab_expand_2_name,[TBD] Lab Expansion II,[미정] 연구소 증축 II,
research_node_convenience_lab_expand_2_description,[TBD] Research lab build limit +1.,[미정] 건설 가능한 연구소 +1,
research_node_convenience_scout_2_name,[TBD] Scouting II,[미정] 정찰 II,
research_node_convenience_scout_2_description,[TBD] Greatly extends vision and marks landmarks.,[미정] 가시 반경 대폭 확장 + 랜드마크 표시,
research_node_convenience_batch_manage_name,[TBD] Batch Placement / Management,[미정] 일괄 배치/관리,
research_node_convenience_batch_manage_description,[TBD] Unlocks batch tower and population placement UI.,[미정] 타워·인구 배치 편의 UI 해금,
research_node_convenience_auto_settle_name,[TBD] Automated Settlement,[미정] 자동 정산 보조,
research_node_convenience_auto_settle_description,[TBD] Automates settlement and distribution.,[미정] 정산·배분 자동화 편의,
research_window_header,Research,연구,
research_button,Research!,연구!,
research_branch_tower,Tower,타워,
research_branch_production,Production,생산,
research_branch_convenience,Convenience,편의,
research_tier_caption_1,Game Start,게임 시작,
research_tier_caption_2,End of Cycle 1,1주기 종료,
research_tier_caption_3,End of Cycle 2,2주기 종료,
research_tier_caption_4,End of Cycle 3,3주기 종료,
research_tier_label,T{0},T{0},
research_tier_locked_badge,Cycle {0},{0}주기,
dragon_skill_freeze_all_name,Deep Freeze,전역 빙결,
dragon_skill_freeze_all_desc,"Freezes every enemy on the field in place for 3s. Cooldown 60s, unlimited uses per day.","필드에 있는 모든 적을 3초간 얼려 멈춥니다. 쿨다운 60초, 1일 사용 횟수 제한 없음.",
dragon_skill_global_damage_name,Burn Surge,전역 화염,
dragon_skill_global_damage_desc,"Deals 30% of current HP to every enemy on the field and reapplies burn. Cooldown 60s, unlimited uses per day.","필드에 있는 모든 적에게 현재 체력의 30%만큼 피해를 주고 화상을 다시 부여합니다. 쿨다운 60초, 1일 사용 횟수 제한 없음.",
dragon_skill_repair_towers_name,Instant Reactivation,즉시 재활성화,
dragon_skill_repair_towers_desc,"Instantly restores every disabled tower without waiting out its downtime. Cooldown 60s, unlimited uses per day.","비활성화된 모든 타워를 대기시간 없이 즉시 복구합니다. 쿨다운 60초, 1일 사용 횟수 제한 없음.",
dragon_skill_meteor_name,Meteor Barricade,메테오 방벽,
dragon_skill_meteor_desc,"Deals 40 damage within radius 1.5 of the target point and raises a 50 HP barricade on the monster path. The barricade is removed when the night ends. Cooldown 60s, 2 uses per day.","지정한 지점 반경 1.5 안의 적에게 40의 피해를 주고, 몬스터 경로에 체력 50의 방벽을 세웁니다. 방벽은 밤이 끝나면 사라집니다. 쿨다운 60초, 1일 2회.",
dragon_skill_castle_heal_name,Castle Mend,성벽 재생,
dragon_skill_castle_heal_desc,"Restores 50 HP to the main castle. Cooldown 60s, unlimited uses per day.","메인 성의 체력을 50 회복합니다. 쿨다운 60초, 1일 사용 횟수 제한 없음.",
main_castle_window_header,[TBD] Mother Dragon,[미정] 어미용,
main_castle_window_attribute_label,[TBD] Current Attribute,[미정] 현재 속성,
main_castle_window_change_button,[TBD] Change Attribute,[미정] 속성 변경,
main_castle_window_change_available,[TBD] Can change once today,[미정] 오늘 1회 변경 가능,
main_castle_window_change_used,[TBD] Already changed today,[미정] 오늘은 이미 변경했습니다,
main_castle_window_slime_label,[TBD] Slime,[미정] 슬라임,
main_castle_window_skill_tree_button,[TBD] Dragon Skill Tree,[미정] 용 스킬트리,
population_allocation_building_population_format,{0}/{1},[미정] 배치 인구: {0}/{1},
population_allocation_total_population_format,{0}/{1},[미정] 가용 인구: {0}/{1},
main_day,CYCLE {0} DAY {1},{0}주기 {1}일차,메인 날짜 UI ({0}=주기(0부터) {1}=주기 내 일차(1부터))
buildmode_button_move,MOVE,이동,빌드모드 패널 이동 버튼
buildmode_button_remove,REMOVE,삭제,빌드모드 패널 삭제 버튼
ingame_button_buildMode,Build Mode,건설 모드,인게임 건설 모드 버튼
ingame_button_workerMode,Worker Mode,인구 모드,인게임 인구 모드 버튼
ingame_button_claim,CLAIM,점령,인게임 점령 버튼
ingame_button_research,RESEARCH,연구,인게임 연구 버튼
ingame_button_nextNight,NEXT NIGHT,밤으로 변경,인게임 밤 변경 버튼
ingame_button_dragon,DRAGON,드래곤,인게임 드래곤 버튼
claim_overlay_produce,"Production
Available",생산 가능,점령 청크 보상 미리보기 패널
claim_panel_duration,DURATION,걸리는 시간,점령 청크 패널
claim_panel_duration_time,{0} Day(s),{0} 일,점령 청크 패널 걸리는 시간
claim_panel_name,Land Claim,영토 점유,점령 패널 이름
claim_panel_cost,Cost To claim,필요한 자원,점령 패널 필요한 자원
