"Id","en_us","ko_kr"
"dragon_node_time_active1_desc","Reduces [Instant Reactivation] cooldown by 12% per rank (up to 24%).","[즉시 재활성화]의 쿨다운이 랭크당 12% 줄어듭니다(최대 24%)."
"dragon_node_time_active2_name","Temporal Rewind","시간 역행"
"dragon_node_time_active2_desc","Reduces [Instant Reactivation] cooldown by a further 12% per rank. Fully upgrading both active branches totals 48% (60s to 31.2s).","[즉시 재활성화]의 쿨다운이 랭크당 12% 추가로 줄어듭니다. 액티브 두 갈래를 모두 강화하면 합계 48%입니다(60초 → 31.2초)."
"dragon_node_time_passive1_name","Desert Harvest","사막 채집"
"dragon_node_time_passive1_desc","While Time is active, Desert Slime and Time Sand output increases by 12% per rank (up to 24%).","시간 어미용이 활성일 때, 사막 슬라임·시간의 모래 생산량이 랭크당 12% 증가합니다(최대 24%)."
"dragon_node_time_passive2_name","Tempo Attunement","가속 조율"
"dragon_node_time_passive2_desc","While Time is active, Time-element towers gain 10% attack speed per rank (up to 20%). Towers of other elements are unaffected.","시간 어미용이 활성일 때, 시간 속성 타워의 공격속도가 랭크당 10% 증가합니다(최대 20%). 다른 속성 타워는 영향받지 않습니다."
"dragon_node_time_ultimate_name","Eternal Hourglass","영원의 모래시계"
"dragon_node_time_ultimate_desc","Every tower keeps 7.5% attack speed even while Time is not the active mother dragon, and conquest expeditions take 1 day less.","시간 어미용이 활성이 아닐 때도 모든 타워가 공격속도 7.5%를 유지하고, 원정(점령)에 걸리는 일수가 1 줄어듭니다."
"dragon_node_time_kin_tower_name","Clockwork Fang","태엽니"
"dragon_node_time_kin_tower_desc","Increases the Time baby dragon's own attack speed by 12% per rank (up to 24%). Applies at all times, regardless of which mother dragon is active.","시간 새끼용 자신의 공격속도가 랭크당 12% 증가합니다(최대 24%). 어미용 활성 여부와 무관하게 항상 적용됩니다."
"dragon_node_time_kin_area_name","Desert Reprieve","사막의 안식"
"dragon_node_time_kin_area_desc","Widens the Time baby dragon's buff radius by 20% per rank (5 to 7). Desert terrain penalties are nullified inside that radius.","시간 새끼용의 버프 반경이 랭크당 20% 넓어집니다(5 → 7). 이 반경 안에서는 사막 지대의 지역 페널티가 사라집니다."
"dragon_node_stone_unlock_name","Stone Awakening","암석 각성"
"dragon_node_stone_unlock_desc","Unlocks the active skill [Meteor Barricade]. While Stone is the active mother dragon, Stone, Rock Slime and Philosopher's Stone output increases by 20%.","액티브 [메테오 방벽]을 해금합니다. 암석 어미용이 활성일 때, 돌·암석 슬라임·현자의 돌 생산량이 20% 증가합니다."
"dragon_node_stone_active1_name","Meteor Fall","운석 낙하"
"dragon_node_stone_active1_desc","Increases [Meteor Barricade] damage by 20% per rank (40 to 56).","[메테오 방벽]의 피해가 랭크당 20% 강해집니다(40 → 최대 56)."
"dragon_node_stone_active2_name","Fortified Barricade","견고한 방벽"
"dragon_node_stone_active2_desc","Increases the max HP of the barricade raised by [Meteor Barricade] by 50% per rank (50 to 100).","[메테오 방벽]이 세우는 방벽의 최대 체력이 랭크당 50% 늘어납니다(50 → 최대 100)."
"dragon_node_stone_passive1_name","Quarry Yield","채석 증산"
"dragon_node_stone_passive1_desc","While Stone is active, Stone, Rock Slime and Philosopher's Stone output increases by a further 12% per rank (up to 24%).","암석 어미용이 활성일 때, 돌·암석 슬라임·현자의 돌 생산량이 랭크당 12% 추가로 증가합니다(최대 24%)."
"dragon_node_stone_passive2_name","Geo Attunement","암반 조율"
"dragon_node_stone_passive2_desc","While Stone is active, Stone-element towers gain 10% damage per rank (up to 20%). Towers of other elements are unaffected.","암석 어미용이 활성일 때, 암석 속성 타워의 공격력이 랭크당 10% 증가합니다(최대 20%). 다른 속성 타워는 영향받지 않습니다."
"dragon_node_stone_ultimate_name","Lord of Earth","대지의 군주"
"dragon_node_stone_ultimate_desc","Half of the production bonus (10%) remains even while Stone is not the active mother dragon, and [Meteor Barricade] daily uses increase from 2 to 3.","암석 어미용이 활성이 아닐 때도 생산량 증가가 절반(10%) 남고, [메테오 방벽]의 1일 사용 횟수가 2회에서 3회로 늘어납니다."
"dragon_node_stone_kin_tower_name","Boulderfang","바위니"
"dragon_node_stone_kin_tower_desc","Increases the Stone baby dragon's own damage by 12% per rank (up to 24%). Applies at all times, regardless of which mother dragon is active.","암석 새끼용 자신의 공격력이 랭크당 12% 증가합니다(최대 24%). 어미용 활성 여부와 무관하게 항상 적용됩니다."
"dragon_node_stone_kin_area_name","Vein Resonance","광맥 공명"
"dragon_node_stone_kin_area_desc","Raises the production multiplier the Stone baby dragon grants to nearby facilities from 2.0x by 0.3x per rank (up to 2.6x). Applies to Stone and the four specialty resources.","암석 새끼용이 주변 생산시설에 주는 생산 배율이 2.0배에서 랭크당 0.3배씩 올라 최대 2.6배가 됩니다(돌·특화 자원 4종 대상)."
"dragon_node_life_unlock_name","Life Awakening","생명 각성"
"dragon_node_life_unlock_desc","Unlocks the active skill [Castle Mend]. While Life is the active mother dragon, Food and Grass Slime output increases by 20%.","액티브 [성벽 재생]을 해금합니다. 생명 어미용이 활성일 때, 식량·초원 슬라임 생산량이 20% 증가합니다."
"dragon_node_life_active1_name","Swift Mending","신속한 치유"
"dragon_node_life_active1_desc","Reduces [Castle Mend] cooldown by 12% per rank (up to 24%).","[성벽 재생]의 쿨다운이 랭크당 12% 줄어듭니다(최대 24%)."
"dragon_node_life_active2_name","Blooming Life","만개하는 생명"
"dragon_node_life_active2_desc","Increases [Castle Mend] healing by 20% per rank (50 to 70).","[성벽 재생]의 회복량이 랭크당 20% 늘어납니다(50 → 최대 70)."
"dragon_node_life_passive1_name","Meadow Yield","초원 증산"
"dragon_node_life_passive1_desc","While Life is active, Food and Grass Slime output increases by a further 12% per rank (up to 24%).","생명 어미용이 활성일 때, 식량·초원 슬라임 생산량이 랭크당 12% 추가로 증가합니다(최대 24%)."
"dragon_node_life_passive2_name","Vital Attunement","생명 조율"
"dragon_node_life_passive2_desc","While Life is active, every tower gains 10% max HP per rank (up to 20%), regardless of element. Applied when the night begins.","생명 어미용이 활성일 때, 모든 타워의 최대 체력이 랭크당 10% 증가합니다(최대 20%). 속성을 가리지 않으며, 밤이 시작될 때 적용됩니다."
"dragon_node_life_ultimate_name","Blessing of the World Tree","세계수의 축복"
"dragon_node_life_ultimate_desc","Half of the production bonus (10%) remains even while Life is not the active mother dragon, and [Castle Mend] heals 30% more with 20% less cooldown.","생명 어미용이 활성이 아닐 때도 생산량 증가가 절반(10%) 남고, [성벽 재생]의 회복량이 30% 늘어나며 쿨다운이 20% 줄어듭니다."
"dragon_node_life_kin_tower_name","Life's Touch","생명의 손길"
"dragon_node_life_kin_tower_desc","Widens the Life baby dragon's buff radius by 20% per rank (3 to 4.2). Applies at all times, regardless of which mother dragon is active.","생명 새끼용의 버프 반경이 랭크당 20% 넓어집니다(3 → 4.2). 어미용 활성 여부와 무관하게 항상 적용됩니다."
"dragon_node_life_kin_area_name","Fields of Plenty","풍요의 들판"
"dragon_node_life_kin_area_desc","Raises the production multiplier the Life baby dragon grants to nearby facilities from 2.0x by 0.3x per rank (up to 2.6x). Applies to Food and Wood.","생명 새끼용이 주변 생산시설에 주는 생산 배율이 2.0배에서 랭크당 0.3배씩 올라 최대 2.6배가 됩니다(식량·통나무 대상)."
